request_id,asset_id,department,location,work_type,defect_or_task,severity,required_duration_hr,requested_date,requested_start,status
BDMS001,TRK002,Engineering,KM  30.121,Repair,Rail defect,Critical,2,14-09-2026,22,Pending
BDMS002,SIG001,S&T,KM  70.230,Repair,Signal system,High,1,14-09-2026,22,Pending
BDMS003,OHE001,Traction,KM  20.120,Inspection,OHE system,High,1,14-09-2026,22,Pending
BDMS004,TRK003,Engineering,KM 31.125,Inspection,Track wear,Medium,1.5,15-09-2026,22,Pending
BDMS005,SIG005,S&T,KM 70.400,Repair,Signal fault,High,2,15-09-2026,22,Pending
BDMS006,TRK006,Engineering,KM 32.240,Inspection,Alignment,High,2,15-09-2026,22.3,Pending
BDMS007,SIG006,S&T,KM 70.460,inspection,Point machine,Critical,2.5,16-09-2026,22.3,Pending
BDMS008,OHE004,Traction,KM 20.400,Repair,OHE fault,High,1.5,16-09-2026,22.3,Pending
BDMS009,TRK005,Engineering,KM 31.200,Repair,Track defect,High,2,16-09-2026,22,Pending
BDMS010,SIG009,S&T,KM 70.720,Inspection,Relay issue,Medium,1,17-09-2026,22,Pending
BDMS011,OHE008,Traction,KM 22.300,Inspection,Insulator defect,Critical,2,17-09-2026,22,Pending
BDMS012,TRK010,Engineering,KM 34.300,Inspection,Track geometry,Medium,1.5,17-09-2026,23,Pending
